Time-from-meal,BGL,Heart_Rate,md_so,md_sd,t_sd,md_do,sd_r
950,93.6,114,0.009256739,0.008108632,0.165333333,0.001148107,0.875970705
950,93.6,111,0.008920402,0.008103379,0.167466667,0.000817023,0.908409605
950,93.6,108,-0.005989839,0.001294005,0.144,-0.007283844,-0.216033427
950,93.6,114,-0.006175322,0.001274782,0.144,-0.007450104,-0.206431683
950,93.6,105,-0.005268187,0.001642939,0.143466667,-0.006911126,-0.3118604
950,93.6,111,-0.003968128,0.002722863,0.156266667,-0.006690991,-0.686183348
950,93.6,102,-0.00449743,0.003003789,0.172,-0.007501219,-0.667889993
950,93.6,102,-0.003793583,0.003459165,0.1728,-0.007252748,-0.911846225
950,93.6,102,-0.004370103,0.003371768,0.179,-0.007741871,-0.77155329
950,93.6,111,-0.003349116,0.003897307,0.1728,-0.007246423,-1.163682455
950,93.6,111,-0.003427648,0.002354058,0.145142857,-0.005781706,-0.686785307
950,93.6,105,-0.002286774,0.002844171,0.142933333,-0.005130944,-1.243748182
950,93.6,102,-0.001230595,0.003449831,0.151428571,-0.004680425,-2.803385071
950,93.6,108,-0.000399824,0.004127891,0.1536,-0.004527715,-10.32428111
950,93.6,102,-0.001550022,0.004102571,0.161066667,-0.005652593,-2.646782469
950,93.6,102,-0.000768545,0.005047883,0.1685,-0.005816428,-6.568100257
950,93.6,102,0.000633105,0.0059462,0.168533333,-0.005313095,9.392117154
950,93.6,99,0.00115638,0.008012416,0.1845,-0.006856036,6.928879516
950,93.6,102,-0.000354566,0.005978101,0.177,-0.006332667,-16.86032977
950,93.6,114,0.019142425,0.012595683,0.147428571,0.006546742,0.657998311
950,93.6,102,0.023239658,0.015420024,0.153142857,0.007819634,0.663521988
950,93.6,111,0.021898912,0.015450348,0.1568,0.006448564,0.705530405
950,93.6,102,0.020177396,0.017982514,0.1705,0.002194881,0.89122079
950,93.6,102,0.020039564,0.017564332,0.1696,0.002475232,0.876482755
950,93.6,99,0.017987271,0.018194615,0.177,-0.000207344,1.011527273
950,93.6,114,0.01753153,0.015267236,0.163733333,0.002264294,0.870844496
950,93.6,111,0.016725279,0.014993491,0.165333333,0.001731788,0.896456877
950,93.6,108,0.016686098,0.015526285,0.166933333,0.001159813,0.93049224
600,109.8,117,0.014613365,0.007870723,0.139428571,0.006742642,0.538597564
600,109.8,114,0.013733658,0.008397482,0.135466667,0.005336176,0.611452684
600,109.8,111,0.006600213,0.005418956,0.130857143,0.001181257,0.821027498
600,109.8,111,0.011444449,0.008803644,0.141142857,0.002640806,0.769250098
600,109.8,108,0.010863229,0.007692701,0.146,0.003170528,0.708141263
600,109.8,117,0.016502207,0.011127338,0.149142857,0.00537487,0.674293894
600,109.8,123,0.017096971,0.016004414,0.153230769,0.001092557,0.936096466
600,109.8,120,0.015678611,0.011046619,0.153142857,0.004631992,0.704566177
600,109.8,114,-0.004431914,0.001584785,0.141714286,-0.0060167,-0.357584844
600,109.8,117,-0.005433575,0.001311649,0.141866667,-0.006745223,-0.241397035
600,109.8,117,-0.003888226,0.002389113,0.157714286,-0.00627734,-0.614448139
600,109.8,117,-0.00346673,0.002714495,0.159428571,-0.006181225,-0.78301293
600,109.8,117,-0.002532394,0.004014811,0.164,-0.006547205,-1.585381274
600,109.8,114,0.000664605,0.004040533,0.142285714,-0.003375927,6.07959763
600,109.8,117,-0.001979592,0.003200919,0.138666667,-0.005180511,-1.61695868
600,109.8,117,0.00026764,0.006462486,0.162857143,-0.006194846,24.14619552
600,109.8,117,0.003589542,0.008950756,0.166285714,-0.005361214,2.493564617
600,109.8,117,0.008898806,0.006011344,0.140571429,0.002887462,0.675522512
600,109.8,114,0.007801917,0.005211811,0.132266667,0.002590106,0.668016746
600,109.8,111,0.002930422,0.003351277,0.125714286,-0.000420855,1.143615969
600,109.8,111,0.007649302,0.006744049,0.141142857,0.000905252,0.881655549
600,109.8,108,0.00756651,0.006165664,0.144666667,0.001400846,0.814862325
600,109.8,117,0.012038551,0.008909205,0.151428571,0.003129345,0.740056319
600,109.8,120,0.015585957,0.011694677,0.153142857,0.003891281,0.750334181
950,90,114,0.013614723,0.005092794,0.1248,0.008521929,0.374065185
950,90,120,0.013033195,0.006552199,0.136571429,0.006480995,0.502731636
